,id,title,created_utc,num_comments,upvotes
76,1cd3m25,[WTS] Seiko Avenue 7N01-6490 Gold Tone White Numeral Dial Quartz Dress Watch - $85,2024-04-25 21:38:56,3,2
77,1cd3ih4,[WTS] Seiko SND371 7T92 1/20 Panda Dial Chronograph Quartz Watch - $85,2024-04-25 21:34:51,3,2
78,1cd3hcx,[WTS] TACS NATO-Lens 📷 BNIB - very cool gift for the camera nerd in your life - $95 ✉️🇺🇸,2024-04-25 21:33:32,7,1
79,1cd3f7c,"[WTS] Omega Seamaster Professional 300 Brosnan Gen 2531.80 $1,999",2024-04-25 21:31:06,3,4
80,1cd3cvq,[WTS] Seiko SRP625 on Alpine sailcloth strap and deployant clasp - $250 shipped CONUS,2024-04-25 21:28:40,5,3
81,1cd3bnq,[WTS] Seiko SPB121 Prospex Alpinist Excellent Condition 2024,2024-04-25 21:27:19,8,1
82,1cd30zf,[WTS] Seiko Prospex SBDJ017 V157 Black Dial Divers 200M Solar Quartz Watch - $175,2024-04-25 21:15:42,3,1
83,1cd2zye,[wts] Omega Seamaster Planet Ocean 8500 42mm 232.30.42.21.01.003,2024-04-25 21:14:38,3,1
84,1cd2t8v,[WTS] Sinn Clasp 20mm Black Tegimented,2024-04-25 21:07:12,4,1
85,1cd2rlk,[WTS] Seiko Presage SPB223 SARF007 Sharp Edged GMT 140th Anniversary Limited Edition,2024-04-25 21:05:26,5,12
86,1cd2mx0,[WTS] Tudor Pelagos 39. Brand new/unworn. Full kit. They don’t get any fresher than this.,2024-04-25 21:00:31,5,4
87,1cd2kmy,[WTS] Maratac Titanium SR-35,2024-04-25 20:58:02,3,0
88,1cd2be8,[WTS] Vostok Amphibia Scuba Dude blue dial,2024-04-25 20:48:21,8,0
89,1cd2b11,[WTS] Jeager LeCoultre Polaris Date ,2024-04-25 20:47:57,3,14
90,1cd29g2,[WTS] Vintage 1995 Seiko Noie SSWZ001 1E20 Dual Time Gold Tone Ladies Quartz Watch - $150,2024-04-25 20:46:11,3,1
